crop,seed_type,soil,state,district,town_city,season,total_duration_estimate,sw_stage_dur,sw_tmin,sw_tmax,sw_rh,sw_rain,sw_wind,sw_solar_rad,sd_e_stage_dur,sd_e_tmin,sd_e_tmax,sd_e_rh,sd_e_rain,sd_e_wind,sd_e_solar_rad,tilrr_stage_dur,tilrr_tmin,tilrr_tmax,tilrr_rh,tilrr_rain,tilrr_wind,tilrr_solar_rad,stel_stage_dur,stel_tmin,stel_tmax,stel_rh,stel_rain,stel_wind,stel_solar_rad,btng_stage_dur,btng_tmin,btng_tmax,btng_rh,btng_rain,btng_wind,btng_solar_rad,hdng_stage_dur,hdng_tmin,hdng_tmax,hdng_rh,hdng_rain,hdng_wind,hdng_solar_rad,flwr_stage_dur,flwr_tmin,flwr_tmax,flwr_rh,flwr_rain,flwr_wind,flwr_solar_rad,grnm_stage_dur,grnm_tmin,grnm_tmax,grnm_rh,grnm_rain,grnm_wind,grnm_solar_rad,grnd_stage_dur,grnd_tmin,grnd_tmax,grnd_rh,grnd_rain,grnd_wind,grnd_solar_rad,rpng_stage_dur,rpng_tmin,rpng_tmax,rpng_rh,rpng_rain,rpng_wind,rpng_solar_rad,hrvst_stage_dur,hrvst_tmin,hrvst_tmax,hrvst_rh,hrvst_rain,hrvst_wind,hrvst_solar_rad
Soybean,JS 95-60,Clay loam,Madhya Pradesh,Mandsaur,Itarsi,Kharif,102,3,23.4,30.0,71,3.0,4.8,475,11,23.1,30.3,64,7.8,3.7,596,11,24.3,33.3,74,7.7,3.8,508,12,23.1,28.5,70,4.3,5.6,491,10,26.2,32.6,63,6.8,7.1,471,4,27.8,32.0,67,6.6,3.3,673,7,27.3,29.4,61,6.3,4.3,599,15,24.9,28.3,67,5.0,2.8,609,9,25.8,30.7,70,4.4,2.5,547,11,20.4,31.7,69,4.2,7.7,509,9,20.2,26.2,64,2.7,6.4,545
Soybean,JS 95-60,Medium Black (Vertisol),Madhya Pradesh,Narsinghpur,Balaghat,Kharif,100,7,22.0,31.2,65,7.6,3.5,502,9,22.7,33.5,56,6.7,2.2,577,17,23.8,32.1,71,2.3,2.4,601,10,24.5,28.9,64,7.9,7.1,623,8,25.9,33.5,70,2.0,6.0,595,1,25.5,29.7,70,6.3,3.0,640,6,27.1,32.7,60,4.0,3.7,674,12,22.6,26.8,62,2.7,5.1,515,13,22.4,27.1,61,6.0,3.9,581,11,20.4,27.5,59,2.4,6.7,574,6,19.6,30.9,62,3.2,4.1,618
Soybean,NRC 37,Shallow Black (Vertisol),Madhya Pradesh,Ashoknagar,Gwalior,Kharif,98,3,22.3,28.3,62,5.3,3.0,543,9,22.8,32.5,65,7.4,3.9,516,14,25.8,33.0,65,6.2,2.6,542,13,25.8,32.4,59,3.4,5.6,479,6,27.4,33.0,70,3.3,2.7,695,4,24.8,31.8,65,7.1,7.5,603,6,25.4,28.0,70,3.5,7.6,559,10,24.1,26.6,62,3.1,6.4,577,14,24.0,28.3,60,6.5,4.0,693,11,20.3,28.3,68,5.5,7.3,684,8,20.2,30.0,69,4.5,7.4,547
Wheat,HI 1544,Medium Black (Vertisol),Madhya Pradesh,Agar Malwa,Bhind,Rabi,126,10,15.6,24.5,54,1.6,4.5,453,16,15.4,23.9,46,0.7,2.5,570,29,12.9,21.1,56,1.8,7.4,576,16,12.7,18.3,57,1.8,8.0,533,7,8.9,19.5,52,1.2,6.4,413,8,14.4,19.4,59,1.5,2.9,478,5,20.3,27.9,60,2.2,4.2,641,11,18.8,29.8,61,0.4,7.2,508,10,16.2,25.8,61,1.8,3.3,483,10,16.1,21.9,62,0.4,3.8,419,4,10.6,24.5,54,2.3,5.2,500
Rice,JRH 8,Alluvial loam,Madhya Pradesh,Rewa,Sidhi,Kharif,133,8,23.0,34.1,60,6.1,2.6,579,11,25.7,34.9,71,4.3,11.3,485,21,24.7,33.3,64,5.4,4.0,480,20,24.6,30.8,66,9.9,5.2,530,12,23.4,33.7,82,6.4,4.9,541,7,25.3,32.6,83,6.6,3.7,680,10,26.3,32.6,83,6.6,2.2,501,14,27.6,32.1,72,5.4,6.3,502,15,25.9,31.9,84,9.9,11.4,588,9,21.3,29.2,69,4.6,7.9,575,6,18.1,34.0,65,5.9,5.3,506
Wheat,HI 1544,Alluvial loam,Madhya Pradesh,Rajgarh,Maihar,Rabi,119,5,16.6,22.8,56,1.9,3.6,621,10,13.4,22.4,60,1.1,2.8,426,28,14.1,20.6,58,2.4,5.9,456,18,11.4,19.9,64,1.8,3.7,603,7,12.7,18.4,52,1.8,6.9,569,5,12.4,19.0,61,3.0,7.5,422,7,20.6,24.5,55,1.5,4.3,472,9,19.3,25.2,64,1.3,4.5,508,15,18.5,23.0,47,2.5,7.0,447,8,14.1,25.8,60,2.7,3.4,532,7,11.5,28.8,46,2.5,6.3,631
Maize,HQPM-7,Medium Black (Vertisol),Madhya Pradesh,Dewas,Kannod,Kharif,111,2,20.5,29.1,60,2.4,7.3,573,8,19.5,30.8,54,5.2,4.9,595,14,22.6,31.8,51,5.3,8.3,642,16,19.0,29.7,53,4.8,6.6,599,13,23.0,31.4,64,2.0,5.9,627,7,23.5,26.9,68,4.5,8.4,633,7,22.7,29.6,57,4.9,4.1,548,15,23.0,27.1,61,5.4,7.1,555,13,21.8,26.2,65,3.2,5.1,621,9,19.6,30.7,66,5.5,5.1,522,7,20.6,26.8,62,2.1,4.9,626
Soybean,JS 20-29,Silty clay loam,Madhya Pradesh,Dewas,Kannod,Kharif,113,9,23.4,29.5,65,7.4,2.6,491,11,23.9,32.4,72,2.1,6.6,645,14,22.4,30.6,61,6.5,2.9,517,13,23.6,29.2,71,3.9,5.2,586,7,26.3,31.6,59,2.7,4.0,694,3,24.8,28.1,57,6.0,5.3,688,10,25.8,33.3,67,2.2,2.4,504,12,22.4,27.5,58,5.4,7.1,525,14,25.0,28.6,69,8.0,4.0,467,13,20.9,26.2,62,4.3,2.7,598,7,18.1,31.8,73,3.8,2.5,533
Wheat,JW 3288,Shallow Black (Vertisol),Madhya Pradesh,Dindori,Sanwer,Rabi,123,7,15.6,22.5,50,2.9,6.1,632,7,16.0,21.7,62,0.7,2.5,427,23,11.0,20.6,57,0.5,3.0,559,28,10.3,21.2,50,0.6,2.1,458,9,10.1,16.2,65,1.5,5.4,502,6,14.4,20.8,58,2.7,4.9,425,6,19.6,22.8,63,1.7,4.4,417,12,19.4,27.4,62,2.7,7.1,519,11,17.3,24.2,60,1.3,4.8,525,10,13.4,24.5,52,2.8,3.3,518,4,11.8,22.8,49,1.7,4.1,411
Pearl millet,ICTP 8203,Alluvial loam,Madhya Pradesh,Shajapur,Satna,Kharif,80,1,25.3,36.8,44,3.6,3.4,609,6,26.9,30.1,49,4.6,7.7,699,10,23.4,36.8,42,4.3,3.8,550,13,24.2,35.7,59,5.0,5.2,642,9,22.2,31.5,46,4.4,3.9,689,2,25.8,36.7,41,4.9,2.9,617,10,23.9,31.9,58,3.6,5.5,639,8,22.7,31.1,57,4.4,4.8,608,9,25.7,32.7,45,4.8,9.0,656,8,22.5,35.5,54,1.6,5.1,596,4,25.1,31.6,45,3.0,2.0,517
